"id","subject","body","answer","type","queue","priority","language","tag_1","tag_2","tag_3","tag_4","tag_5","error"
"tr_synth_000000","Acil: Vodafone Mobil Hat Hesabı Sorunu","<isim>,

Son iki haftadır Antalya şubesinde çalışırken faturamda aşırı miktarda bir fark çıkıyor ve bunu nasıl düzelteceğimi bilmiyorum. Lütfen acilen bu durumu inceleyin çünkü kredi kartımın son geçerlilik tarihine çok yaklaşıyoruz.

Çok endişeliyim, lutfen en kısa sürede dönüş yapmanızı rica ediyorum.","Merhaba <isim>,
bakışlarımızı tamamladık ve Antalya bölgesindeki sistemsel bir hatanın faturanıza yansımasına neden olduğunu fark ettik.

Sorunu çözüyoruz ve önümüzdeki 24 saat içinde hesabınızı yeniden hesaplayıp yeni faturayı gönderiyoruz; lütfen şimdilik kaygılanmayın.","Request","Customer Service","critical","tr","Inquiry","Service","Documentation","","",""
"tr_synth_000002","Fiyatla ilgili acil sorum var lütfen","Merhaba, Konya şubesinde Vodafone Mobil Hat aboneliğim için özel kampanya seçeneklerini incelememi sağlıyor musunuz? Şu anki fiyatların üzerine ekstra indirim veya paket değişikliği yapabilir miyim acaba? Bu konudaki en kısa sürede dönüşünüzü beklerim.","Merhaba <isim>, talebinizi aldık ve Konya'daki ofisimizle iletişime geçip mevcut kampanyaları değerlendireceğiz. Fiyatlandırma politikalarımız çerçevesinde size uygun alternatifleri sunmaya çalışacağız, sonuçları en kısa sürede e-postanızla paylaşıyoruz.","Request","Sales and Pre-Sales","high","tr","Feedback","Lead","Pricing","","",""
"tr_synth_000003","Kullanım sorunu yaşıyorum CRM sistemi","<isim> merhaba, şu anda CRM sisteminin ağırlaşması ve yükleme hatası aldığım için yazışmalarımı tamamlamakta zorlanıyorum. Sitenin çok yavaş açılması iş akışıma ciddi şekilde engel oluyor.

Bu sorunu çözebilmeniz için ne kadar sürede bitiririm?","<isim>, CRM sistemi üzerindeki performans düşüklüğünü ve kullanıcıların yaşadığı kesintileri fark ettik. Şu an durumu teknik ekibimize bildirerek derhal inceleme başlattık.

Sorunu giderene kadar geçici olarak hangi işlemlerin alternatifiyle ilerleyebileceğinize dair bilgilendirme yapacağız, lütfen sabırla beklersiniz.","Incident","Service Outages and Maintenance","low","tr","Performance","Disruption","Outage","","",""
"tr_synth_000001","Bosch çamaşır makinelerinde servis kesintisi bildirimi","Merhaba, son günler Bosch çamaşır makineleri kullanıcılarının çoğu için erişilebilir olmadı ve bu durum işleyişimizi aksattı. Sorunun devam ettiği durumlarda sistem yavaşladığını fark ettik ancak tam bir çöküş yaşandığına emin değiliz. Lütfen durumu kontrol edip bize bildirebileceğinizden Emin olun.","Merhaba, <isim> sorunumuzu tespit etmeye çalışıyoruz ve ekiplerimizle görüşerek çözümün ne zaman uygulanacağını netleştiriyoruz. Yakında size geri dönüş yapılacaktır.","Incident","Service Outages and Maintenance","low","tr","Maintenance","Outage","Notification","Recovery","Performance",""
"tr_synth_000004","Türk Telekom modemi tekrar kesiliyor","

Son birkaç günde her akşam saat 21-00 arası internetimin düzeleceğini düşündüğüm bir kesinti yaşıyorum.
Modemim Türk Telekom tarafından gönderilen güncelleme sırasında donuyor ve bağlantım kopuyor gibi hissediyorum.
Bu durumu teknik ekibin incelemesini rica eder, lütfen bana bilgi verebilir misiniz?

Saygılarımla,
<isim>","
Merhaba <isim>,
Beklendiğinden kısa süreli kesintilerin tekrarladığına dair şikayetinizi aldık ve kayıt altına aldık.
Ekip olarak durumu inceledikten sonra size geri dönüş yapacağız, ancak şu anda acil bir müdahale gerekmemektedir.
Lütfen bir sonraki kesinti sırasında modem üzerindeki ışıkların durumunu veya hata mesajını paylaşırsanız işimizi kolaylaştırırsınız.","Problem","Service Outages and Maintenance","low","tr","Maintenance","Recovery","Disruption","","",""
"tr_synth_000005","Tekrarlayan sorun ve belgesiz hata Adana","<isim>, Synology NAS cihazım sürekli aynı hatayı veriyor ama yardım sayfalarında bunu nasıl çözeceğimi bulamıyorum. Özellikle Adana'daki servis noktalarından destek isteyince karşıma farklı teknik ekibin çıktığını görüyorum ve konu genel sorulardan uzaklaşıyor. Lütfen bu tür belgesiz, net olmayan sorunlar için daha iyi bir yönlendirme mekanizması oluşturabilir misiniz? Durumu acil olarak değerlendirmeyi rica ederim.","<isim>, aldığınız geri bildirimi kabul ediyor ve belirttiğiniz Synology NAS cihazı üzerindeki tekrarlayan sorunun incelenmesini sağlıyoruz. Dokümantasyonun eksik kalan kısımlarını eklemek için ilgili ekip harekete geçti ancak Adana bölgesindeki diğer kullanıcıların da yaşadığı benzer durumları tespit etmek adına kısa bir anket başlatıyoruz. Lütfen hatanın tam olarak nerede ortaya çıktığını ve sistem loglarından hangi hata kodlarının göründüğünü paylaşabilir misiniz?","Problem","General Inquiry","critical","tr","Documentation","Inquiry","Feedback","Information","Support",""
"tr_synth_000006","Acil fatura hatası ve yanlıs para çekilmesi","Merhaba, bugün şirket içi muhasebe yazılımı üzerinden yaptığım havale işlemi beklenmedik şekilde yanlış hesaplandığı için hesabımdan eksiksiz bir tutar kesildi. Müşteri hizmetleri aradığında durumu çözdüklerini söylediler ancak para hala bloke ve görünmüyor. Acilen bu işlemin iptal edilip geri ödenmesini rica ediyorum.","<isim>, yaşadığınız sorun için derhal özür dileriz ve işlem durumunuzu kontrol ediyoruz. Lütfen ilgili fatura ekranından hatanın gerçekleştiği tarih ve saat bilgisini paylaşır mısınız? Bu bilgilerle ödeme ekibimiz size en kısa sürede geri dönüş sağlayacak.","Incident","Billing and Payments","critical","tr","Payment","Refund","Dispute","Account","Billing",""
"tr_synth_000007","Son birkaç gün içinde tekrarlayan kısa kesintiler","<isim>, son iki gündür şirket içi muhasebe yazılımımızda her seferinde yarım saatlik ani kesintiler yaşıyoruz. Bu durumların ne zaman ve neden olacağına dair hiçbir bildirim gelmiyor, bu yüzden günlük iş akışumuz tamamen bozuluyor. Lütfen acilen bir yetkiliyle görüşelim; böyle devam ederse sistem dışından kullanmak zorunda kalabiliriz.","<isim> merhaba, aldığınız bildirimi anında önemsiyor ve durumun ciddiyetini kabul ediyoruz. Şu anda teknik ekibimiz olayı derinlemesine analiz etmek üzere yeniden sistemi izole etme işlemine başladı ancak tam netleşmiş bilgi için lütfen kesintilerin en yoğun olduğu saatlerdeki hata kodlarını paylaşırsanız çok yardımcı olur.","Problem","Service Outages and Maintenance","critical","tr","Recovery","Outage","Disruption","Notification","Performance",""
"tr_synth_000008","Acil: Yeni hesap açılışında kritik hata","Merhabalar,
SaaS proje yönetim platformuna yeni bir kullanıcı hesabı oluşturuldu ancak Windows 11 işletim sistemine giriş yaparken NULL_POINTER_EXC hatası alıyorum. Bu durum iş akışımızı durduruyor ve çok endişeliyim, lütfen en kısa sürede çözüm yollarını paylaşır mısınız?
Adım <isim>.","Yönlendirdiğiniz acil durumu aldık ve SaaS proje yönetim platformu erişiminizdeki NULL_POINTER_EXC hatasını tespit etmemize yardımcı olmak adına tarayıcı cache'ini temizlemenizi öneriyoruz. Bilgisayarınızda Windows Defender korumasının şu anda aktif olup olmadığını kontrol edebilir misiniz? Lütfen bu bilgileri bize iletin ki gerekli önlemleri alalım.","Request","IT Support","critical","tr","Hardware","Bug","Security","","",""
"tr_synth_000009","Acil yardım gerekli LenovoThinkPad","<isim>, Antalya adresindeki ofistemizdeki yeni Lenovo ThinkPad cihazları için beklediğimiz teknik dokümantasyonu acilen nasıl alabiliriz? Bu ekipmanlar şu ana kadar teslim edilmedi ve proje kısıtları çok sıkı olduğu için durumunuzdan hemen haberdar olmamızı rica ediyorum. Lütfen konuyu üst yönetime ilettiğimizi belirtirseniz memnun oluruz.","<isim> merhaba, Antalya'daki Lenovo ThinkPad siparişinizin durumu şubemizle doğrudan görüşülerek hemen kontrol edilmiş oldu. İlgili departmanlara acil bir bildirim gönderildi ve dokümantasyonun yarın sabah işinize sunulacak şekilde erteledik. Lütfen numaranızı bize verin, durumunuz hakkında ayrıca arayalım.","Request","Customer Service","critical","tr","Inquiry","Documentation","Feedback","","",""
"tr_synth_000010","SaaS projesinde Adana için dokümantasyon sorusu","<isim>, merhaba; SaaS proje yönetim platformumuzda yeni başladığımız Adana ofisi için erişilen belgelerin güncel listesini bulabildiğimi gördüm ancak bazı kısımlar eksik görünüyor. Özellikle yerel kurallara uymak adına hazırlanmış son revizyonu paylaşabilir misiniz? Bu konuda nasıl bir yol izlemeliyim acaba?","Merhaba <isim>, öncelikle Adana ofisi için bilgi aradığınızna sevindik ve durumu ekibimize bildirelim. Lütfen hangi dokümanların eksiktiğini veya hangi bölümlerde kafa karışıklığı yaşadığınızı detaylıca belirtir misiniz? Bu bilgileri aldığımızda dosyayı sizinle irtibatı üzerinden hemen paylaşıyoruz.","Request","General Inquiry","high","tr","Documentation","Information","Support","Feedback","",""
"tr_synth_000011","Hemen çözülmeli dokümantasyon hatası","Merhaba, Synology NAS cihazımı Adana'daki ofistemize kurduktan sonra yönlendirme menüsünde tuhaf bir durum görmem. Hata mesajı çıkmıyor ama bazı klasörler görünmüyor ve bu bizi çok yoruyor. Lütfen hemen inceleyin.","<isim>, yaşadığınız dokümantasyon sorunu şimdilik kritik görünüyor, ekibimiz derhal kontrol edecek. Lüksemburg servisine değil de doğrudan cihazın yönetim panelindeki IP adresi üzerinden bize ulaşabilirsiniz mi? Böylece durumu daha hızlı tespit etmemize yardımcı olursunuz.","Incident","General Inquiry","critical","tr","Documentation","Feedback","Inquiry","","",""
